"Epoch (UTC)","Ch 3.02500E6 Hz (W/m^2/Hz)"
2016-07-03T13:00:32.497Z,2.8720E-19
2016-07-03T13:01:15.338Z,2.2904E-19
2016-07-03T13:01:58.174Z,1.7372E-19
2016-07-03T13:02:41.013Z,4.9961E-19
2016-07-03T13:03:23.850Z,2.4516E-19
2016-07-03T13:04:06.691Z,1.6629E-19
2016-07-03T13:04:49.533Z,9.9605E-20
2016-07-03T13:05:32.372Z,1.5123E-19
2016-07-03T13:06:15.208Z,2.0372E-19
2016-07-03T13:06:58.049Z,3.3633E-19
2016-07-03T13:07:40.893Z,2.9822E-19
2016-07-03T13:08:23.734Z,1.9014E-19
2016-07-03T13:09:06.572Z,1.9606E-19
2016-07-03T13:09:49.411Z,2.1430E-19
2016-07-03T13:10:32.256Z,1.8985E-19
2016-07-03T13:11:15.095Z,2.1217E-19
2016-07-03T13:11:57.932Z,8.3462E-20
2016-07-03T13:12:40.783Z,7.5440E-19
2016-07-03T13:13:23.622Z,2.3529E-19
2016-07-03T13:14:06.463Z,2.6533E-19
2016-07-03T13:14:49.302Z,6.2070E-20
2016-07-03T13:15:32.138Z,1.7551E-19
2016-07-03T13:16:14.975Z,1.7307E-19
2016-07-03T13:16:57.816Z,1.3647E-19
2016-07-03T13:17:40.661Z,1.5330E-19
2016-07-03T13:18:23.502Z,2.4274E-19
2016-07-03T13:19:06.342Z,1.1231E-19
2016-07-03T13:19:49.177Z,1.5513E-19
2016-07-03T13:20:32.014Z,1.9464E-19
2016-07-03T13:21:14.859Z,1.6921E-19
2016-07-03T13:21:57.701Z,9.6602E-20
2016-07-03T13:22:40.536Z,1.1531E-19
2016-07-03T13:23:23.377Z,2.8525E-19
2016-07-03T13:24:06.222Z,1.4967E-19
2016-07-03T13:24:49.061Z,1.7753E-19
2016-07-03T13:25:31.902Z,3.3919E-19
2016-07-03T13:26:14.743Z,2.3656E-19
2016-07-03T13:26:57.583Z,2.4190E-19
2016-07-03T13:27:40.420Z,1.6174E-19
2016-07-03T13:28:23.263Z,4.4195E-20
2016-07-03T13:29:06.100Z,8.2302E-20
2016-07-03T13:29:48.941Z,2.9974E-19
2016-07-03T13:30:31.777Z,5.9503E-20
2016-07-03T13:31:14.618Z,1.7371E-19
2016-07-03T13:31:57.458Z,4.4685E-19
2016-07-03T13:32:40.299Z,3.0037E-19
2016-07-03T13:33:23.138Z,2.2726E-19
2016-07-03T13:34:05.975Z,2.0081E-19
2016-07-03T13:34:48.816Z,8.7696E-20
2016-07-03T13:35:31.661Z,2.1568E-19
2016-07-03T13:36:14.502Z,7.9188E-20
2016-07-03T13:36:57.342Z,1.0080E-19
2016-07-03T13:37:40.179Z,1.2237E-19
2016-07-03T13:38:23.014Z,1.4609E-19
2016-07-03T13:39:05.854Z,1.1267E-19
2016-07-03T13:39:48.697Z,6.8847E-20
2016-07-03T13:40:31.536Z,1.5086E-19
2016-07-03T13:41:14.377Z,3.0037E-19
2016-07-03T13:41:57.213Z,1.7386E-19
2016-07-03T13:42:40.052Z,2.5161E-19
2016-07-03T13:43:22.893Z,2.5145E-19
2016-07-03T13:44:05.734Z,2.4972E-19
2016-07-03T13:44:48.576Z,1.6733E-19
2016-07-03T13:45:31.415Z,4.9226E-19
2016-07-03T13:46:14.260Z,5.7440E-19
2016-07-03T13:46:57.095Z,3.7123E-19
2016-07-03T13:47:39.932Z,6.4606E-20
2016-07-03T13:48:22.772Z,3.0583E-19
2016-07-03T13:49:05.615Z,2.8921E-19
2016-07-03T13:49:48.451Z,2.0783E-19
2016-07-03T13:50:31.290Z,5.2384E-20
2016-07-03T13:51:14.131Z,2.2039E-19
2016-07-03T13:51:56.970Z,6.9670E-20
2016-07-03T13:52:39.807Z,1.2798E-19
2016-07-03T13:53:22.647Z,2.0912E-20
2016-07-03T13:54:05.484Z,1.2435E-19
2016-07-03T13:54:48.326Z,6.3500E-19
2016-07-03T13:55:31.174Z,2.2420E-19
2016-07-03T13:56:14.010Z,1.4611E-19
2016-07-03T13:56:56.847Z,4.0910E-20
2016-07-03T13:57:39.686Z,2.6229E-19
2016-07-03T13:58:22.522Z,2.5672E-19
2016-07-03T13:59:05.368Z,1.7325E-19
2016-07-03T13:59:48.204Z,2.4229E-19
